Title,Body,Labels,Priority,EstimateEW,DependsOn,Milestone
SIM-001 Canonical Simulation Spec,"Freeze state schema, tick order, invariants, and failure semantics. Acceptance: approved SIM_SPEC.md; invariants testable; schema evolution protocol documented.","core-sim,design",P0,2,,"M1 Engine Foundations"
SIM-002 Typed Domain Models + Migration Framework,"Implement versioned schemas for entities and forward-only migrations with rollback strategy. Acceptance: machine-readable validation and migration tests.","core-sim,infra",P0,3,SIM-001,"M1 Engine Foundations"
SIM-003 Deterministic Tick Runtime,"Build runTick(world, seed) with subsystem RNG partitioning. Acceptance: byte-identical replay over 10k ticks for same seed/input.","core-sim",P0,3,"SIM-001;SIM-002","M1 Engine Foundations"
SIM-004 Snapshot + Event Log Persistence,"Event-sourced delta log plus periodic snapshots. Acceptance: replay from genesis and checkpoints; crash-safe write guarantees.","infra,obs",P0,2,"SIM-002;SIM-003","M1 Engine Foundations"
SIM-005 Invariant and Property-Based Test Rig,"Create seed fuzzing harness and invariant checks. Acceptance: 1000+ seeds nightly with reproducible counterexample seeds.","qa,core-sim",P0,2,SIM-003,"M1 Engine Foundations"
SIM-006 World Generator v1,"Generate clustered frontier settlements with configurable density/stress profiles. Acceptance: no isolated dead regions, reproducible seeds.","worldgen",P0,2,"SIM-001;SIM-002","M2 World Dynamics"
SIM-007 Pressure System Core,"Implement coupled state updates for population, food, goods, security, extraction burden, trade health, border strain. Acceptance: bounded stable dynamics.","economy,core-sim",P0,4,"SIM-003;SIM-006","M2 World Dynamics"
SIM-008 Hazard Engine,"Probability-field event selection from pressures, context, cooldowns. Acceptance: no scripted inevitabilities; distribution tests pass.","core-sim",P0,3,SIM-007,"M2 World Dynamics"
SIM-009 Event Pack v1 (20 Macro Events),"Define nonviolent and destabilizing macro events with trigger profiles and consequence maps. Acceptance: each event tested/logged.","narrative,economy",P1,3,SIM-008,"M2 World Dynamics"
SIM-010 Institution Policy Engines,"Implement military, market, council, press, clergy, judicial policy outputs with bounded rationality. Acceptance: explainable action traces.","ai-policy,core-sim",P0,5,"SIM-007;SIM-008","M2 World Dynamics"
SIM-011 Trade Network Formation and Route Strain,"Endogenous route creation and disruption under stress/conflict. Acceptance: topology metrics and plausible corridor shifts.","economy",P1,3,"SIM-007;SIM-010","M2 World Dynamics"
SIM-012 Expansion Decay Reversion Loop,"Frontier growth near active clusters; collapse and recolonization mechanisms. Acceptance: no long-run map lock-in.","worldgen,core-sim",P0,3,"SIM-007;SIM-010","M2 World Dynamics"
SIM-013 Truth Layer Separation,"Model ground truth and reported truth as separate first-class objects with provenance.","narrative,core-sim",P0,3,"SIM-002;SIM-010","M3 Information Ecology"
SIM-014 Distortion Model (Bias Latency Suppression),"Source-specific distortion, suppression, and lag behavior. Acceptance: measurable false positive/negative and tunable profiles.","narrative,ai-policy",P0,4,SIM-013,"M3 Information Ecology"
SIM-015 Belief Propagation Graph,"Trust-weighted narrative propagation with decay/saturation. Acceptance: coexistence of conflicting narratives by subgroup.","core-sim,narrative",P1,5,"SIM-013;SIM-014","M3 Information Ecology"
SIM-016 Legitimacy as Emergent Derived State,"Compute legitimacy from belief topology and institutional credibility; remove direct writes.","core-sim",P0,3,"SIM-015;SIM-007","M3 Information Ecology"
SIM-017 Chronicle and Media Surface Generator,"Generate timeline entries, headlines, rumors tied to causal event IDs.","narrative,ui",P1,3,"SIM-014;SIM-015","M3 Information Ecology"
SIM-018 Chronicle Store + Query API,"Index and query chronicle by time/region/faction/institution/event type.","infra,obs",P1,3,"SIM-004;SIM-009;SIM-017","M4 Product Surface"
SIM-019 Operator Console v1,"Build map inspector, institution panel, timeline and run controls with causal trace UI.","ui,obs",P1,4,"SIM-018;SIM-007","M4 Product Surface"
SIM-020 Experiment Runner and Sensitivity Harness,"Batch seed runner and parameter sweep exports with drift alerts.","qa,obs",P1,3,"SIM-005;SIM-008","M4 Product Surface"
SIM-021 Telemetry Alerts and Runtime Diagnostics,"Metrics and alerts for freeze risk, event starvation, runaway dominance, report divergence.","obs,infra",P1,3,"SIM-003;SIM-007","M4 Product Surface"
SIM-022 Tuning Service (Versioned Parameters),"Versioned runtime-tunable parameter sets with safe rollout/rollback and provenance.","infra,core-sim",P1,3,"SIM-008;SIM-010","M4 Product Surface"
SIM-023 Performance and Scale Optimization,"Optimize runtime and memory to target 100k settlements in batch simulation.","infra",P2,5,"SIM-012;SIM-015","M5 Hardening"
SIM-024 Fault Tolerance and Recovery,"Checkpoint restore and recovery drills; bounded RPO/RTO guarantees.","infra,obs",P2,2,SIM-004,"M5 Hardening"
SIM-025 Governance Failure Mode Test Suite,"Explicit scenario tests for lock-in, immortal empires, irreversible decay, misinformation capture.","qa,core-sim",P1,3,"SIM-012;SIM-016;SIM-020","M5 Hardening"
SIM-026 Security and Access Controls,"RBAC and audit logging for operator and tuning surfaces.","security,infra",P2,2,SIM-019,"M5 Hardening"
SIM-027 Validation Protocol (Scientific),"Hypotheses, falsification tests, calibration boundaries, and limitation statements for release gating.","qa,research",P1,3,"SIM-020;SIM-025","M5 Hardening"
SIM-028 Release Hardening and Operational Docs,"Architecture docs, runbooks, incident playbook, release checklist, rollback drill.","infra,obs",P1,2,"SIM-021;SIM-022;SIM-023;SIM-024;SIM-025;SIM-026;SIM-027","M5 Hardening"
